1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,5,5,5,0,7,7,7,0,5,5,5,5,5,0,7,7,7,7,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,6,6,6,0,8,8,8,0,6,6,6,6,6,0,8,8,8,8,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
2,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,0,0,0,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
